Comment,Designator,Footprint,LCSC Part #
1uF,C1 C2 C3 C4,C0402-J,
2n3904,T1 T2 T3 T4,SOT23-BEC,
10k,R1 R2 R5 R6,R0402,
470R,R3 R4 R7 R8,R0402,
DG412-JT,IC1 IC2 IC3,TSSOP16J,
MA06-1JN,X7 X8,MA06N-1J,
ROUND-IC-PIN,X1 X2 X3 X4 X5 X6,MA08N-1J,
SN74LVC2T45,IC4 IC5,VSSOP8J,
